Timestamp,Human readable date,38001c001851373237343331_pedestrians,context_38001c001851373237343331_pedestrians
1.58594E+12,4/3/20 11:08,396,{}
1.58594E+12,4/3/20 11:11,397,{}
1.58594E+12,4/3/20 11:15,398,{}
1.58594E+12,4/3/20 11:16,399,{}
1.58594E+12,4/3/20 11:18,400,{}
1.58594E+12,4/3/20 11:22,401,{}
1.58594E+12,4/3/20 11:32,402,{}
1.58594E+12,4/3/20 11:34,403,{}
1.58594E+12,4/3/20 11:36,404,{}
1.58594E+12,4/3/20 11:39,405,{}
1.58594E+12,4/3/20 11:39,406,{}
1.58594E+12,4/3/20 11:40,407,{}
1.58594E+12,4/3/20 11:42,408,{}
1.58594E+12,4/3/20 11:46,409,{}
1.58594E+12,4/3/20 11:46,410,{}
1.58594E+12,4/3/20 11:50,411,{}
1.58594E+12,4/3/20 11:56,412,{}
1.58594E+12,4/3/20 12:13,413,{}
1.58594E+12,4/3/20 12:16,414,{}
1.58594E+12,4/3/20 12:18,415,{}
1.58594E+12,4/3/20 12:25,416,{}
1.58594E+12,4/3/20 12:28,417,{}
1.58594E+12,4/3/20 12:31,418,{}
1.58594E+12,4/3/20 12:32,419,{}
1.58594E+12,4/3/20 12:35,420,{}
1.58594E+12,4/3/20 12:37,421,{}
1.58595E+12,4/3/20 13:36,423,{}
1.58595E+12,4/3/20 13:36,422,{}
1.58595E+12,4/3/20 13:37,424,{}
1.58595E+12,4/3/20 13:47,425,{}
1.58595E+12,4/3/20 13:55,426,{}
1.58595E+12,4/3/20 13:55,427,{}
1.58595E+12,4/3/20 13:55,428,{}
1.58595E+12,4/3/20 13:55,429,{}
1.58595E+12,4/3/20 13:55,430,{}
1.58595E+12,4/3/20 13:55,431,{}
1.58595E+12,4/3/20 14:21,432,{}
1.58595E+12,4/3/20 14:21,433,{}
1.58595E+12,4/3/20 14:41,434,{}
1.58595E+12,4/3/20 14:41,435,{}
1.58595E+12,4/3/20 14:44,436,{}
1.58595E+12,4/3/20 14:51,437,{}
1.58595E+12,4/3/20 15:00,438,{}
1.58595E+12,4/3/20 15:21,439,{}
1.58595E+12,4/3/20 15:21,440,{}
1.58595E+12,4/3/20 15:21,441,{}
1.58595E+12,4/3/20 15:21,443,{}
1.58595E+12,4/3/20 15:21,444,{}
1.58595E+12,4/3/20 15:21,442,{}
1.58595E+12,4/3/20 15:21,445,{}
1.58595E+12,4/3/20 15:21,446,{}
1.58595E+12,4/3/20 15:21,447,{}
1.58595E+12,4/3/20 15:21,448,{}
1.58595E+12,4/3/20 15:21,449,{}
1.58595E+12,4/3/20 15:43,450,{}
1.58596E+12,4/3/20 16:29,451,{}
1.58596E+12,4/3/20 16:34,452,{}
1.58596E+12,4/3/20 16:49,453,{}
1.58596E+12,4/3/20 17:16,454,{}
1.58596E+12,4/3/20 17:38,455,{}
1.58596E+12,4/3/20 17:39,456,{}
1.58596E+12,4/3/20 17:56,457,{}
1.58596E+12,4/3/20 18:05,458,{}
1.58596E+12,4/3/20 18:05,458,{}
1.58596E+12,4/3/20 18:16,459,{}
1.58596E+12,4/3/20 18:18,460,{}
1.58596E+12,4/3/20 18:18,461,{}
1.58596E+12,4/3/20 18:19,462,{}
1.58596E+12,4/3/20 18:19,463,{}
1.58596E+12,4/3/20 18:25,464,{}
1.58596E+12,4/3/20 18:26,465,{}
1.58596E+12,4/3/20 18:26,466,{}
1.58596E+12,4/3/20 18:26,467,{}
1.58596E+12,4/3/20 18:26,468,{}
1.58596E+12,4/3/20 18:27,470,{}
1.58596E+12,4/3/20 18:27,469,{}
1.58596E+12,4/3/20 18:27,471,{}
1.58596E+12,4/3/20 18:27,472,{}
1.58596E+12,4/3/20 18:27,473,{}
1.58596E+12,4/3/20 18:28,474,{}
1.58596E+12,4/3/20 18:29,475,{}
1.58596E+12,4/3/20 18:29,476,{}
1.58596E+12,4/3/20 18:33,477,{}
1.58596E+12,4/3/20 18:39,478,{}
1.58596E+12,4/3/20 18:44,479,{}
1.58597E+12,4/3/20 18:57,480,{}
1.58597E+12,4/3/20 20:40,481,{}
1.58598E+12,4/3/20 23:14,482,{}
1.58598E+12,4/3/20 23:18,483,{}
1.58598E+12,4/3/20 23:26,484,{}
1.58598E+12,4/3/20 23:43,485,{}
1.58598E+12,4/3/20 23:46,486,{}
1.58598E+12,4/3/20 23:46,487,{}
1.58598E+12,4/3/20 23:47,488,{}
1.58601E+12,4/4/20 7:49,489,{}
1.58601E+12,4/4/20 7:49,490,{}
1.58601E+12,4/4/20 7:49,491,{}
1.58601E+12,4/4/20 8:07,492,{}
1.58601E+12,4/4/20 8:08,493,{}
1.58602E+12,4/4/20 8:52,494,{}
1.58602E+12,4/4/20 8:53,495,{}
1.58602E+12,4/4/20 10:35,496,{}
1.58602E+12,4/4/20 10:46,497,{}
1.58602E+12,4/4/20 11:01,498,{}
1.58602E+12,4/4/20 11:02,499,{}
1.58602E+12,4/4/20 11:02,500,{}
1.58602E+12,4/4/20 11:02,501,{}
1.58602E+12,4/4/20 11:02,502,{}
1.58602E+12,4/4/20 11:02,503,{}
1.58602E+12,4/4/20 11:03,504,{}
1.58603E+12,4/4/20 13:50,505,{}
